Weeks,RFS
0,100
4.63308211,98.03854095
6.632288774,96.04267034
8.948829829,94.04679972
11.26537088,92.05092911
12.21737406,90.08947006
17.07259024,88.09359945
25.10115034,86.09772884
35.38278461,84.13626979
40.42840143,82.17481074
42.8401428,80.14452856
46.99722332,78.18306951
60.29353431,76.1871989
60.51566839,74.19132829
60.86473622,72.19545767
71.17810393,70.1651755
71.68583895,68.13489332
72.38397461,66.07019959
74.35144784,62.43991741
93.89924633,60.41169993
109.8928996,55.95320028